"sku_id","product_id_id"
"a57c1ba9-4c1f-4e86-8cd5-ac42cbc0b3bb","9b53fe57-4871-4196-b487-6fc0b45a6ceb"
"4b26d990-a2a3-4352-a1b0-9feea31967b2","8016809b-e9be-4d41-98de-0fe188151c4c"
"c8593241-1c39-4f43-a482-b92981f9ed8e","e68e3959-0ffd-43ab-8004-d62329a47f7a"
"44f5abb9-e1a3-4bba-8c93-17328f86495f","77bdc24e-f6e8-4ef8-9852-9f265adba657"
"d1d2928d-4a98-4754-a489-ad8903fa7ea8","77bdc24e-f6e8-4ef8-9852-9f265adba657"
"43022158-cbe1-4a4e-b91a-c303d18346ee","93cfeec3-2b8b-43f0-bc68-958191ccad92"
"0c10302c-c727-4715-87e4-60701c25cee0","93cfeec3-2b8b-43f0-bc68-958191ccad92"
"3725349c-7555-4f95-bd72-ecfc42129b80","7fd4304c-09c5-4204-b4c2-fbd841cc10ab"
"df912ed0-0ae4-4af2-b964-517d74ab3bc7","51e7f25a-82df-4388-a517-6494be3beef4"
"a9d90f8a-fc63-4a49-9204-930946337657","36555452-2eaf-4570-8861-4b10e57c1562"
"a6a3ba28-c9b7-4fc8-a612-fabec8dd2be1","36555452-2eaf-4570-8861-4b10e57c1562"
"5748a702-e7fb-41ea-97ec-65e913d0456c","03fe0e96-935f-41e3-8443-c42dbede457f"
"f17be3c6-2230-40da-bddd-93430340b6c0","03fe0e96-935f-41e3-8443-c42dbede457f"
"198f8f74-e67b-4d75-8f55-48ccf141b34c","9d24daaf-f22e-425a-b1d4-88d62b46bcd4"
"704c287b-8ebd-4330-8938-9c68f5f6f2aa","9d24daaf-f22e-425a-b1d4-88d62b46bcd4"
"c5ea28b8-0998-4268-9a41-49c205ec996b","1f7473da-3bd1-4c3e-a0e8-b1b8452ad368"
"01bedcd7-8055-4dac-ab05-793725ed9ed0","1f7473da-3bd1-4c3e-a0e8-b1b8452ad368"
"c00a929e-90e3-44e0-bc04-2a7475c64bdf","cc7bd145-ae08-4387-ba78-70b06f192522"
"95820079-754a-4ff7-bfd7-dcae6cca5a8a","cc7bd145-ae08-4387-ba78-70b06f192522"
"38480331-ebae-4225-bafd-d16d4b9519ec","292bc70c-2fb2-46cf-a193-c6f87bf309cc"
"23430b0f-879c-496c-aff0-35143d6f3141","e4d9ed75-f521-47e2-a041-e5c68ba50466"
